T2M,PRECIP,RH2M,NDVI,yield_kg_per_ha
25.29733458815789,41.783658414009366,42.63529083959755,0.4683616678368886,5011.305623185989
25.97336034792647,27.99785463867496,42.03834891624534,0.4570925652044914,4173.12400717411
25.718131438879823,18.291300977202148,41.42725652278635,0.4513817419995824,4305.982730399903
24.57222348558601,55.33184638414117,45.340246072558685,0.463267166936824,4803.822952523742
25.97380379109235,27.54491471776339,42.02335792743912,0.4571300829590288,4174.549089529381
24.348252783762504,107.7354959043775,48.44285876104035,0.4626489384648352,4510.921502182195
24.509496972396377,94.52751126280532,48.52401396304433,0.4660860424173133,4356.088684169195
25.160431905761147,29.757956573917703,41.59710173420371,0.4597755184785216,5061.158988610893
25.594154864677304,19.24737267922454,41.32419246011051,0.4482746234983635,4350.529889077558
27.12798238294635,34.595225967571665,32.021687269031226,0.4068562031575081,4557.527738474469
24.64158180670195,45.40582768328102,46.70798035817952,0.4878246821485635,5028.641034693859
24.34266338721489,106.9465397330074,48.29626474642235,0.4605004489123393,4485.449950901475
24.181430685889246,46.381592977467456,50.21351861218472,0.5055648563594392,4970.758677943084
24.560397416719358,49.93359478484444,45.67803067610171,0.4655302169321626,4745.297205335567
25.97721978120425,24.055767945031704,41.90787735750389,0.4574190946935232,4185.526972624256
24.42224288921445,77.35715452360765,51.16492812804328,0.5173828973004596,5105.230536357993
24.10488767182175,60.59537742625457,52.07830063138141,0.5184055388202166,5011.170199533612
24.20595344045603,46.23692968498068,50.01824670059903,0.504554214820341,4973.513406131767
26.22857142398464,25.42660536475693,37.227292547859086,0.4292874324303657,4448.470706732628
26.15282768300091,44.46597878318053,40.3111561414592,0.4413623949257108,4161.7150974075885
25.652287498979497,19.35953544520985,40.42425466975688,0.442878910583939,4392.223398123996
26.24895647601069,16.68977531156957,37.65218947908736,0.4342158540064868,4393.509534647313
24.346397955282832,107.47368260066852,48.39421187207002,0.4619359671134022,4502.468826059747
25.72263658733322,18.256558567376675,41.43100173760255,0.4514946506696302,4304.363944235574
24.646586918761606,57.45152684290664,45.11195045192124,0.4639200593647809,4842.708342863043
24.74304577960468,79.48456158132339,49.11295574526604,0.477717747565592,4232.932992014524
25.811253082107,17.573173633322728,41.50467029983076,0.4537155698408196,4272.522339645851
25.26519845768169,53.412528688183016,44.54576138945402,0.4807361600295887,4968.073328510716
24.650777680212027,44.24670795551548,46.38976701168853,0.4849758904273279,5014.94704487014
24.70793086613309,49.22909938270673,43.78431553146476,0.4325707970292168,4152.01012959692
24.773360180501584,76.18016896819762,49.12439989007758,0.4792584115665569,4225.508040600571
24.71739309487737,51.05919403782972,43.65267044035628,0.4309362656063077,4145.940911712548
24.080816593944828,59.38031763802803,52.14619619198375,0.518442439017228,5003.633476496029
